STAID	STATE	FIPS	LAT_DMS 	 LON_DMS	WELLDPTH  	SAMPDATE 	SAMPTIME	AS_RMRK	AS_CONC	LAT_DD	LON_DD
16S     2S      6N      6S      7S      10N     9S      5S      1S      10N     12N     12N
424320114485701	ID	16047	424320	1144857	65	09-Aug-95	1100	.	3	42.72222	114.81583
424010114492801	ID	16083	424010	1144928	610	15-Mar-79	1045	.	22	42.66945	114.82445
423112114492801	ID	16083	423112	1144928	155	18-Jun-96	1305	.	24	42.52	114.82445
424029114493001	ID	16083	424029	1144930	375	27-Mar-79	1330	.	31	42.67472	114.825
424111114493201	ID	16083	424111	1144932	540	15-Mar-79	1430	.	32	42.68639	114.82555
424106114493701	ID	16083	424106	1144937	510	13-Apr-88	1150	.	42	42.685	114.82694
424057114494201	ID	16083	424057	1144942	480	26-Mar-79	1245	.	27	42.6825	114.82833
425025114494601	ID	16047	425025	1144946	220	10-Aug-94	1230	.	2	42.84028	114.82944
433434114494901	ID	16025	433434	1144949		14-Jul-81	1445	.	2	43.57611	114.83028
424118114495001	ID	16083	424118	1144950	545	15-Aug-79	1510	.	29	42.68834	114.83056
425428114495001	ID	16047	425428	1144950	108	10-Aug-94	930	.	3	42.90778	114.83056
431912114493401	ID	16025	431756	1144951	78	15-Jul-96	1015	.	2	43.29889	114.83083
13132600	ID	16047	424336	1145000		09-Aug-94	1000	.	3	42.72667	114.83334
424101114500301	ID	16083	424101	1145003		04-Apr-79	1100	.	28	42.68361	114.83417
435548114500901	ID	16013	435548	1145009	50	13-Sep-94	1600	.	13	43.93	114.83583
422742114505301	ID	16083	422742	1145053	500	21-Sep-95	1100	.	18	42.46167	114.84805
423923114505501	ID	16083	423923	1145055	76.5	28-Jul-94	1120	.	14	42.65639	114.84861
424807114505701	ID	16047	424807	1145057	180	04-Aug-93	1735	.	2	42.80195	114.84917
423402114505801	ID	16083	423402	1145058	105	15-Aug-94	1300	.	24	42.56722	114.84944
444700114512201	ID	16037	444660	1145122		28-Jun-80	1500	.	2	44.78333	114.85611
420605114513601	ID	16083	420605	1145136		23-May-89	1120	<	1	42.10139	114.86
440603114515501	ID	16037	440603	1145155		12-Sep-79	1530	.	1	44.10084	114.86528
422934114520401	ID	16083	422934	1145204	145	23-Aug-94	1255	.	19	42.49278	114.86777
423709114520901	ID	16083	423709	1145209		18-Aug-92	925	.	8	42.61917	114.86916
423658114521101	ID	16083	423654	1145211	400	21-Jul-93	1140	.	9	42.615	114.86972
423117114521701	ID	16083	423117	1145217	280	18-Jun-96	920	-	21	42.52139	114.87139
462747114521901	ID	16049	462746	1145218		14-Jul-82	1300	.	1	46.46278	114.87167
425030114524101	ID	16047	425030	1145241	175	20-Jun-95	1540	.	2	42.84167	114.87805
425037114532501	ID	16047	425037	1145325	55	26-Aug-92	1230	.	7	42.84361	114.89027
423314114533201	ID	16083	423314	1145332	287	01-Aug-95	1300	.	14	42.55389	114.89222
432216114533602	ID	16025	432216	1145336	137	16-Jul-93	920	<	1	43.37111	114.89333
423435114534801	ID	16083	423435	1145348	220	21-Sep-95	900	-	11	42.57639	114.89667
422937114533701	ID	16083	422929	1145354	180	14-Sep-93	1020	.	30	42.49139	114.89833
391345114535501	NV	32033	391345	1145355		14-Jun-83	1300	.	1	39.22916	114.89861
424949114540401	ID	16047	424949	1145404	140	26-Jul-96	915	.	3	42.83027	114.90111
440941114541601	ID	16037	440941	1145416	155	02-Aug-96	1140	<	1	44.16139	114.90444
422113114542101	ID	16083	422113	1145421	260	21-Sep-95	1330	.	16	42.35361	114.90583
423047114542801	ID	16083	423047	1145428	175	18-Jun-96	1120	.	11	42.51306	114.90778
422417114543101	ID	16083	422417	1145431	1090	25-Aug-94	1300	.	7	42.40473	114.90861
440856114545301	ID	16037	440856	1145453	60	11-Sep-91	1250	<	1	44.14889	114.91472
425937114552301	ID	16047	425937	1145523	248	07-Sep-94	1000	.	3	42.99361	114.92306
362028114553601	NV	32003	362028	1145536		30-Sep-86	1400	.	8	36.34111	114.92667
441306114554401	ID	16037	441306	1145544	56	29-Jul-96	1630	.	4	44.21833	114.92889
424916114555101	ID	16083	424916	1145551	220	20-Aug-93	1155	.	14	42.82111	114.93083
441240114561501	ID	16037	441240	1145615	197	29-Jul-96	1415	<	1	44.21111	114.9375
425607114561801	ID	16047	425607	1145618	260	15-Aug-94	1458	-	2	42.93528	114.93833
455122114561901	ID	16049	455122	1145619		13-Jul-82	1500	<	1	45.85611	114.93861
462756114562001	ID	16049	462756	1145620		14-Jul-82	1115	.	2	46.46555	114.93889
441257114562001	ID	16037	441257	1145620	110	10-Sep-91	1845	<	1	44.21584	114.93889
425620114523001	ID	16047	425620	1145621	450	11-Sep-95	930	.	3	42.93889	114.93916
423550114564001	ID	16083	423550	1145640	840	26-Jun-78	1530	.	9	42.59723	114.94444
423240114565201	ID	16083	423240	1145652	1280	24-Apr-81	1130	.	28	42.54444	114.94778
424714114574801	ID	16083	424714	1145748	1090	17-Jun-96	1215	.	7	42.78722	114.96333
452323114575301	ID	16059	452323	1145753		18-Aug-80	1900	.	2	45.38972	114.96472
423817114580701	ID	16083	423817	1145807	300	28-Jul-94	920	-	8	42.63807	114.96861
425221114580701	ID	16083	425221	1145807	620	20-Sep-95	1230	.	16	42.8725	114.96861
431753114591701	ID	16025	431753	1145917	194	29-Aug-94	1400	.	3	43.29805	114.98805
350639114594601	CA	6071	350639	1145946		02-Sep-81	1100	.	8	35.11083	114.99611
423443114595501	ID	16083	423443	1145955	444	01-Aug-95	1000	.	4	42.57861	114.99861
361421115001601	NV	32003	361421	1150016	1030	29-Sep-86	1200	.	29	36.23917	115.00445
444352115010501	ID	16037	444352	1150105		27-Jun-80	1435	.	2	44.73111	115.01806
425851115013301	ID	16047	425851	1150133	174	11-Sep-95	1200	.	14	42.98083	115.02583
462748115020601	ID	16049	462749	1150205		14-Jul-82	1500	.	1	46.46361	115.03472
453030115021801	ID	16049	453030	1150218		19-Aug-80	1245	.	3	45.50834	115.03833
441755115022601	ID	16037	441755	1150226	60	13-Jul-93	1345	<	1	44.29861	115.04056
361412115023501	NV	32003	361412	1150235	800	23-Feb-95	1405	-	15	36.23667	115.04306
350253115024301	CA	6071	350253	1150243	62	02-Sep-81	1200	.	4	35.04805	115.04528
361241115024801	NV	32003	361241	1150248	694	23-Feb-95	1105	-	21	36.21139	115.04667
360322115030801	NV	32003	360322	1150308	780	11-May-83	900	.	46	36.05611	115.05222
345508115034701	CA	6071	345508	1150347		01-Sep-81	1200	.	25	34.91889	115.06306
431751115040001	ID	16025	431751	1150360	81	31-Jul-90	1130	<	1	43.2975	115.06667
433609115041501	ID	16025	433609	1150415		15-Jul-81	1515	.	1	43.6025	115.07083
385540115045701	NV	32033	385601	1150450		16-Jun-83	1400	.	5	38.93361	115.08056
385538115045701	NV	32033	385538	1150457		16-Jun-83	1100	.	5	38.92722	115.0825
425245115050701	ID	16039	425248	1150509	600	02-Sep-93	1130	.	3	42.88	115.08583
360535115050901	NV	32003	360535	1150509	18			-	17	36.09306	115.08583
360933115055102	NV	32003	360933	1150551	100	11-May-83	1500	.	1	36.15916	115.0975
360617115063802	NV	32003	360617	1150638	30			-	8	36.10472	115.11056
360349115064901	NV	32003	360349	1150649	400	09-May-83	1500	.	37	36.06361	115.11361
360358115065801	NV	32003	360358	1150658		08-Feb-95	1110	-	34	36.0661	115.11611
360640115070401	NV	32003	360640	1150704	20			-	29	36.11111	115.11778
434812115072501	ID	16039	434812	1150725	60	26-Sep-94	1445	.	1	43.80333	115.12361
344242115072601	CA	6071	344242	1150726	125	06-Aug-81	1200	.	2	34.71167	115.12389
360728115072901	NV	32003	360728	1150729	750	15-Mar-95	1020	<	1	36.12444	115.12472
454329115074101	ID	16049	454329	1150741		13-Jul-82	1030	<	1	45.72472	115.12805
352119115074901	CA	6071	352119	1150749		26-Aug-81	1200	.	1	35.35528	115.13028
361418115081201	NV	32003	361418	1150812	300	27-Aug-82	1115	.	2	36.23834	115.13667
361123115082101	NV	32003	361123	1150821	450	24-Jan-95	1000	-	2	36.18972	115.13917
350320115084901	CA	6071	350320	1150849		01-Sep-81	1200	.	9	35.05556	115.14694
360817115085701	NV	32003	360817	1150857	1000	24-Aug-82	1030	.	1	36.13805	115.14917
360816115090201	NV	32003	360816	1150902		16-Mar-95	1105	-	1	36.13778	115.15056
361136115101401	NV	32003	355839	1150909	650	07-Feb-95	1000	-	33	35.9775	115.1525
350923115093501	CA	6071	350923	1150935	700	02-Sep-81	1200	.	4	35.15639	115.15972
360730115093901	NV	32003	360730	1150939		15-Jun-95	1420	-	1	36.125	115.16083
433732115094601	ID	16039	433732	1150946		15-Jul-81	1700	.	1	43.62556	115.16278
360007115094801	NV	32003	360007	1150948		24-Jan-95	1500	-	16	36.00194	115.16333
360719115095903	NV	32003	360719	1150959	840	15-Feb-95	1315	-	1	36.12194	115.16639
360559115100101	NV	32003	360559	1151001	650	15-Jun-95	1020	-	2	36.09972	115.16694
360102115100901	NV	32003	360102	1151009	1000	14-May-82	1030	.	10	36.01722	115.16917
343457115104401	CA	6071	343457	1151044	23	22-Jul-81	1100	.	1	34.5825	115.17889
355657115104401	NV	32003	355657	1151044		13-Feb-95	1035	-	8	35.94917	115.17889
360735115105201	NV	32003	360735	1151052	45	18-Aug-93	1100	<	1	36.12639	115.18111
361238115112102	NV	32003	361238	1151121	978	21-May-82	1000	.	2	36.21056	115.18916
361001115112501	NV	32003	361000	1151125	950	12-Jun-95	1130	-	3	36.16667	115.19028
443740115114801	ID	16085	443740	1151148		25-Jun-80	1115	.	7	44.62778	115.19666
361053115120501	NV	32003	361053	1151158	33	22-Aug-93	1400	-	1	36.18139	115.19944
425617115120001	ID	16039	425617	1151160	445	20-Aug-96	1610	.	8	42.93806	115.2
351208115120301	CA	6071	351208	1151203	879	01-Sep-81	1200	.	5	35.20222	115.20084
344843115123501	CA	6071	344843	1151235		23-Jul-81	1000	.	16	34.81194	115.20972
350331115125401	CA	6071	350331	1151254		28-Aug-81	1200	.	3	35.05861	115.215
360444115132301	NV	32003	360444	1151323	500	16-Feb-95	1040	-	2	36.0789	115.22306
360940115133701	NV	32003	360943	1151324	1010	12-Jun-95	1420	-	2	36.16194	115.22333
361544115132701	NV	32003	361544	1151327	1000	15-Mar-95	1415	-	2	36.26222	115.22417
361303115140301	NV	32003	361329	1151360	1000	14-Jun-95	1000	-	1	36.22472	115.23333
361120115140101	NV	32003	361120	1151406	991	13-Jun-95	1020	-	2	36.18889	115.235
361208115142401	NV	32003	361211	1151421	1060	14-Jun-95	1240	-	2	36.20306	115.23917
415036115145201	NV	32007	415036	1151452		27-Jun-78	1300	<	1	41.84333	115.24778
360042115150501	NV	32003	360042	1151505	600	26-Aug-82	1300	.	1	36.01167	115.25139
424749115153101	ID	16039	424749	1151531	735	10-Aug-95	1500	.	27	42.79694	115.25861
361206115153701	NV	32003	361204	1151536	937	13-Jun-95	1330	-	2	36.20111	115.26
361835115153701	NV	32003	361835	1151537		14-Mar-95	1035	<	1	36.30972	115.26028
361840115153901	NV	32003	361840	1151539	300	23-Aug-82	1000	.	1	36.31112	115.26083
